venue,ticker,buysell,price,quantity,decimals,valid_time
MOEX,CNYRUB_TOM,B,8.531,1182,6,2022-11-14 13:52:59+00:00
MOEX,CNYRUB_TOM,B,8.532,1550,6,2022-11-14 13:52:59+00:00
MOEX,CNYRUB_TOM,B,8.533,900,6,2022-11-14 13:52:59+00:00
MOEX,CNYRUB_TOM,B,8.534,1852,6,2022-11-14 13:52:59+00:00
MOEX,CNYRUB_TOM,B,8.535,1900,6,2022-11-14 13:52:59+00:00
MOEX,CNYRUB_TOM,B,8.536,1207,6,2022-11-14 13:52:59+00:00
MOEX,CNYRUB_TOM,B,8.537,1650,6,2022-11-14 13:52:59+00:00
MOEX,CNYRUB_TOM,B,8.538,400,6,2022-11-14 13:52:59+00:00
MOEX,CNYRUB_TOM,B,8.539,5000,6,2022-11-14 13:52:59+00:00
MOEX,CNYRUB_TOM,B,8.54,1895,6,2022-11-14 13:52:59+00:00
MOEX,CNYRUB_TOM,S,8.541,2757,6,2022-11-14 13:52:59+00:00
MOEX,CNYRUB_TOM,S,8.542,5332,6,2022-11-14 13:52:59+00:00
MOEX,CNYRUB_TOM,S,8.543,874,6,2022-11-14 13:52:59+00:00
MOEX,CNYRUB_TOM,S,8.544,4567,6,2022-11-14 13:52:59+00:00
MOEX,CNYRUB_TOM,S,8.545,9478,6,2022-11-14 13:52:59+00:00
MOEX,CNYRUB_TOM,S,8.546,1016,6,2022-11-14 13:52:59+00:00
MOEX,CNYRUB_TOM,S,8.547,3658,6,2022-11-14 13:52:59+00:00
MOEX,CNYRUB_TOM,S,8.548,8476,6,2022-11-14 13:52:59+00:00
MOEX,CNYRUB_TOM,S,8.549,18770,6,2022-11-14 13:52:59+00:00
MOEX,CNYRUB_TOM,S,8.55,103158,6,2022-11-14 13:52:59+00:00
MOEX,EURUSD000TOM,B,1.02757,300,6,2022-11-14 13:52:57+00:00
MOEX,EURUSD000TOM,B,1.028,200,6,2022-11-14 13:52:57+00:00
MOEX,EURUSD000TOM,B,1.02801,1000,6,2022-11-14 13:52:57+00:00
MOEX,EURUSD000TOM,B,1.0283,143,6,2022-11-14 13:52:57+00:00
MOEX,EURUSD000TOM,B,1.02843,200,6,2022-11-14 13:52:57+00:00
MOEX,EURUSD000TOM,B,1.02851,100,6,2022-11-14 13:52:57+00:00
MOEX,EURUSD000TOM,B,1.02853,100,6,2022-11-14 13:52:57+00:00
MOEX,EURUSD000TOM,B,1.02854,73,6,2022-11-14 13:52:57+00:00
MOEX,EURUSD000TOM,B,1.02855,200,6,2022-11-14 13:52:57+00:00
MOEX,EURUSD000TOM,B,1.02961,50,6,2022-11-14 13:52:57+00:00
MOEX,EURUSD000TOM,S,1.03,201,6,2022-11-14 13:52:57+00:00
MOEX,EURUSD000TOM,S,1.03041,50,6,2022-11-14 13:52:57+00:00
MOEX,EURUSD000TOM,S,1.03098,5,6,2022-11-14 13:52:57+00:00
MOEX,EURUSD000TOM,S,1.03117,200,6,2022-11-14 13:52:57+00:00
MOEX,EURUSD000TOM,S,1.03118,200,6,2022-11-14 13:52:57+00:00
MOEX,EURUSD000TOM,S,1.0312,500,6,2022-11-14 13:52:57+00:00
MOEX,EURUSD000TOM,S,1.03148,100,6,2022-11-14 13:52:57+00:00
MOEX,EURUSD000TOM,S,1.03149,1000,6,2022-11-14 13:52:57+00:00
MOEX,EURUSD000TOM,S,1.0315,800,6,2022-11-14 13:52:57+00:00
MOEX,EURUSD000TOM,S,1.03185,900,6,2022-11-14 13:52:57+00:00
MOEX,EUR_RUB__TOM,B,62.28,1100,4,2022-11-14 13:52:53+00:00
MOEX,EUR_RUB__TOM,B,62.2825,51,4,2022-11-14 13:52:53+00:00
MOEX,EUR_RUB__TOM,B,62.285,175,4,2022-11-14 13:52:53+00:00
MOEX,EUR_RUB__TOM,B,62.29,49,4,2022-11-14 13:52:53+00:00
MOEX,EUR_RUB__TOM,B,62.2925,240,4,2022-11-14 13:52:53+00:00
MOEX,EUR_RUB__TOM,B,62.3,60,4,2022-11-14 13:52:53+00:00
MOEX,EUR_RUB__TOM,B,62.31,54,4,2022-11-14 13:52:53+00:00
MOEX,EUR_RUB__TOM,B,62.3175,70,4,2022-11-14 13:52:53+00:00
MOEX,EUR_RUB__TOM,B,62.32,51,4,2022-11-14 13:52:53+00:00
MOEX,EUR_RUB__TOM,B,62.33,18,4,2022-11-14 13:52:53+00:00
MOEX,EUR_RUB__TOM,S,62.3325,50,4,2022-11-14 13:52:53+00:00
MOEX,EUR_RUB__TOM,S,62.335,50,4,2022-11-14 13:52:53+00:00
MOEX,EUR_RUB__TOM,S,62.3375,100,4,2022-11-14 13:52:53+00:00
MOEX,EUR_RUB__TOM,S,62.34,413,4,2022-11-14 13:52:53+00:00
MOEX,EUR_RUB__TOM,S,62.35,2,4,2022-11-14 13:52:53+00:00
MOEX,EUR_RUB__TOM,S,62.3525,100,4,2022-11-14 13:52:53+00:00
MOEX,EUR_RUB__TOM,S,62.355,50,4,2022-11-14 13:52:53+00:00
MOEX,EUR_RUB__TOM,S,62.3575,50,4,2022-11-14 13:52:53+00:00
MOEX,EUR_RUB__TOM,S,62.36,530,4,2022-11-14 13:52:53+00:00
MOEX,EUR_RUB__TOM,S,62.3875,100,4,2022-11-14 13:52:53+00:00
MOEX,HKDRUB_TOM,B,7.7788,2,6,2022-11-14 13:52:34+00:00
MOEX,HKDRUB_TOM,B,7.779,1,6,2022-11-14 13:52:34+00:00
MOEX,HKDRUB_TOM,B,7.7794,10,6,2022-11-14 13:52:34+00:00
MOEX,HKDRUB_TOM,B,7.78,54,6,2022-11-14 13:52:34+00:00
MOEX,HKDRUB_TOM,B,7.7801,8,6,2022-11-14 13:52:34+00:00
MOEX,HKDRUB_TOM,B,7.7802,10,6,2022-11-14 13:52:34+00:00
MOEX,HKDRUB_TOM,B,7.781,19,6,2022-11-14 13:52:34+00:00
MOEX,HKDRUB_TOM,B,7.7815,10,6,2022-11-14 13:52:34+00:00
MOEX,HKDRUB_TOM,B,7.7816,1,6,2022-11-14 13:52:34+00:00
MOEX,HKDRUB_TOM,B,7.785,1,6,2022-11-14 13:52:34+00:00
MOEX,HKDRUB_TOM,S,7.7899,173,6,2022-11-14 13:52:34+00:00
MOEX,HKDRUB_TOM,S,7.79,389,6,2022-11-14 13:52:34+00:00
MOEX,HKDRUB_TOM,S,7.799,3,6,2022-11-14 13:52:34+00:00
MOEX,HKDRUB_TOM,S,7.8,3126,6,2022-11-14 13:52:34+00:00
MOEX,HKDRUB_TOM,S,7.8195,100,6,2022-11-14 13:52:34+00:00
MOEX,HKDRUB_TOM,S,7.8196,13,6,2022-11-14 13:52:34+00:00
MOEX,HKDRUB_TOM,S,7.8198,45,6,2022-11-14 13:52:34+00:00
MOEX,HKDRUB_TOM,S,7.8199,2,6,2022-11-14 13:52:34+00:00
MOEX,HKDRUB_TOM,S,7.82,23,6,2022-11-14 13:52:34+00:00
MOEX,HKDRUB_TOM,S,7.825,5,6,2022-11-14 13:52:34+00:00
MOEX,KZTRUB_TOM,B,13.125,950,4,2022-11-14 13:52:45+00:00
MOEX,KZTRUB_TOM,B,13.1275,1600,4,2022-11-14 13:52:45+00:00
MOEX,KZTRUB_TOM,B,13.13,1779,4,2022-11-14 13:52:45+00:00
MOEX,KZTRUB_TOM,B,13.1325,600,4,2022-11-14 13:52:45+00:00
MOEX,KZTRUB_TOM,B,13.135,888,4,2022-11-14 13:52:45+00:00
MOEX,KZTRUB_TOM,B,13.1375,50,4,2022-11-14 13:52:45+00:00
MOEX,KZTRUB_TOM,B,13.145,1000,4,2022-11-14 13:52:45+00:00
MOEX,KZTRUB_TOM,B,13.15,520,4,2022-11-14 13:52:45+00:00
MOEX,KZTRUB_TOM,B,13.1775,1000,4,2022-11-14 13:52:45+00:00
MOEX,KZTRUB_TOM,B,13.18,2522,4,2022-11-14 13:52:45+00:00
MOEX,KZTRUB_TOM,S,13.205,78,4,2022-11-14 13:52:45+00:00
MOEX,KZTRUB_TOM,S,13.2075,891,4,2022-11-14 13:52:45+00:00
MOEX,KZTRUB_TOM,S,13.21,4000,4,2022-11-14 13:52:45+00:00
MOEX,KZTRUB_TOM,S,13.2125,2000,4,2022-11-14 13:52:45+00:00
MOEX,KZTRUB_TOM,S,13.215,2100,4,2022-11-14 13:52:45+00:00
MOEX,KZTRUB_TOM,S,13.2175,2000,4,2022-11-14 13:52:45+00:00
MOEX,KZTRUB_TOM,S,13.22,7966,4,2022-11-14 13:52:45+00:00
MOEX,KZTRUB_TOM,S,13.2225,2000,4,2022-11-14 13:52:45+00:00
MOEX,KZTRUB_TOM,S,13.2275,200,4,2022-11-14 13:52:45+00:00
MOEX,KZTRUB_TOM,S,13.23,1200,4,2022-11-14 13:52:45+00:00
MOEX,TRYRUB_TOM,B,3.2301,100,6,2022-11-14 13:52:52+00:00
MOEX,TRYRUB_TOM,B,3.2314,25,6,2022-11-14 13:52:52+00:00
MOEX,TRYRUB_TOM,B,3.2315,99,6,2022-11-14 13:52:52+00:00
MOEX,TRYRUB_TOM,B,3.2327,2,6,2022-11-14 13:52:52+00:00
MOEX,TRYRUB_TOM,B,3.2331,30,6,2022-11-14 13:52:52+00:00
MOEX,TRYRUB_TOM,B,3.234,10,6,2022-11-14 13:52:52+00:00
MOEX,TRYRUB_TOM,B,3.235,100,6,2022-11-14 13:52:52+00:00
MOEX,TRYRUB_TOM,B,3.24,118,6,2022-11-14 13:52:52+00:00
MOEX,TRYRUB_TOM,B,3.2402,71,6,2022-11-14 13:52:52+00:00
MOEX,TRYRUB_TOM,B,3.2403,100,6,2022-11-14 13:52:52+00:00
MOEX,TRYRUB_TOM,S,3.25,4606,6,2022-11-14 13:52:52+00:00
MOEX,TRYRUB_TOM,S,3.2525,600,6,2022-11-14 13:52:52+00:00
MOEX,TRYRUB_TOM,S,3.2648,100,6,2022-11-14 13:52:52+00:00
MOEX,TRYRUB_TOM,S,3.2649,1341,6,2022-11-14 13:52:52+00:00
MOEX,TRYRUB_TOM,S,3.265,2,6,2022-11-14 13:52:52+00:00
MOEX,TRYRUB_TOM,S,3.2669,200,6,2022-11-14 13:52:52+00:00
MOEX,TRYRUB_TOM,S,3.2698,100,6,2022-11-14 13:52:52+00:00
MOEX,TRYRUB_TOM,S,3.27,6,6,2022-11-14 13:52:52+00:00
MOEX,TRYRUB_TOM,S,3.275,150,6,2022-11-14 13:52:52+00:00
MOEX,TRYRUB_TOM,S,3.2798,22,6,2022-11-14 13:52:52+00:00
MOEX,USD000UTSTOM,B,60.45,111,4,2022-11-14 13:52:56+00:00
MOEX,USD000UTSTOM,B,60.46,301,4,2022-11-14 13:52:56+00:00
MOEX,USD000UTSTOM,B,60.4625,100,4,2022-11-14 13:52:56+00:00
MOEX,USD000UTSTOM,B,60.465,50,4,2022-11-14 13:52:56+00:00
MOEX,USD000UTSTOM,B,60.4675,50,4,2022-11-14 13:52:56+00:00
MOEX,USD000UTSTOM,B,60.47,100,4,2022-11-14 13:52:56+00:00
MOEX,USD000UTSTOM,B,60.485,150,4,2022-11-14 13:52:56+00:00
MOEX,USD000UTSTOM,B,60.4875,50,4,2022-11-14 13:52:56+00:00
MOEX,USD000UTSTOM,B,60.49,100,4,2022-11-14 13:52:56+00:00
MOEX,USD000UTSTOM,B,60.4925,63,4,2022-11-14 13:52:56+00:00
MOEX,USD000UTSTOM,S,60.505,100,4,2022-11-14 13:52:56+00:00
MOEX,USD000UTSTOM,S,60.51,50,4,2022-11-14 13:52:56+00:00
MOEX,USD000UTSTOM,S,60.515,73,4,2022-11-14 13:52:56+00:00
MOEX,USD000UTSTOM,S,60.5175,124,4,2022-11-14 13:52:56+00:00
MOEX,USD000UTSTOM,S,60.52,50,4,2022-11-14 13:52:56+00:00
MOEX,USD000UTSTOM,S,60.5225,152,4,2022-11-14 13:52:56+00:00
MOEX,USD000UTSTOM,S,60.5275,50,4,2022-11-14 13:52:56+00:00
MOEX,USD000UTSTOM,S,60.53,50,4,2022-11-14 13:52:56+00:00
MOEX,USD000UTSTOM,S,60.535,198,4,2022-11-14 13:52:56+00:00
MOEX,USD000UTSTOM,S,60.5375,50,4,2022-11-14 13:52:56+00:00
MOEX,USDCNY_TOM,B,7.07522,200,6,2022-11-14 13:52:57+00:00
MOEX,USDCNY_TOM,B,7.07523,100,6,2022-11-14 13:52:57+00:00
MOEX,USDCNY_TOM,B,7.078,60,6,2022-11-14 13:52:57+00:00
MOEX,USDCNY_TOM,B,7.08,70,6,2022-11-14 13:52:57+00:00
MOEX,USDCNY_TOM,B,7.08059,300,6,2022-11-14 13:52:57+00:00
MOEX,USDCNY_TOM,B,7.08099,88,6,2022-11-14 13:52:57+00:00
MOEX,USDCNY_TOM,B,7.081,100,6,2022-11-14 13:52:57+00:00
MOEX,USDCNY_TOM,B,7.08255,25,6,2022-11-14 13:52:57+00:00
MOEX,USDCNY_TOM,B,7.08432,50,6,2022-11-14 13:52:57+00:00
MOEX,USDCNY_TOM,B,7.08433,81,6,2022-11-14 13:52:57+00:00
MOEX,USDCNY_TOM,S,7.08629,100,6,2022-11-14 13:52:57+00:00
MOEX,USDCNY_TOM,S,7.0863,200,6,2022-11-14 13:52:57+00:00
MOEX,USDCNY_TOM,S,7.08642,50,6,2022-11-14 13:52:57+00:00
MOEX,USDCNY_TOM,S,7.09279,240,6,2022-11-14 13:52:57+00:00
MOEX,USDCNY_TOM,S,7.0928,314,6,2022-11-14 13:52:57+00:00
MOEX,USDCNY_TOM,S,7.09284,200,6,2022-11-14 13:52:57+00:00
MOEX,USDCNY_TOM,S,7.093,500,6,2022-11-14 13:52:57+00:00
MOEX,USDCNY_TOM,S,7.0932,200,6,2022-11-14 13:52:57+00:00
MOEX,USDCNY_TOM,S,7.0949,49,6,2022-11-14 13:52:57+00:00
MOEX,USDCNY_TOM,S,7.09788,150,6,2022-11-14 13:52:57+00:00
